count,end_date,name,start_date
25,2018-07-28,The Dip,2018-07-21
24,2018-07-28,Etta James,2018-07-21
15,2018-07-28,Lawrence,2018-07-21
11,2018-07-28,Phantastic Ferniture,2018-07-21
8,2018-07-28,Lake Street Dive,2018-07-21
8,2018-07-28,The Seige,2018-07-21
7,2018-07-28,Otis Redding,2018-07-21
6,2018-07-28,St. Paul &amp; The Broken Bones,2018-07-21
6,2018-07-28,The Rubens,2018-07-21
5,2018-07-28,Cub Sport,2018-07-21
5,2018-07-28,Sam Cooke,2018-07-21
5,2018-07-28,The Lumineers,2018-07-21
4,2018-07-28,Bad Rabbits,2018-07-21
4,2018-07-28,Próxima Parada,2018-07-21
4,2018-07-28,The Shins,2018-07-21
3,2018-07-28,Anderson .Paak,2018-07-21
3,2018-07-28,Bill Withers,2018-07-21
3,2018-07-28,Chance the Rapper,2018-07-21
3,2018-07-28,Easy Giant,2018-07-21
3,2018-07-28,Gregory Alan Isakov,2018-07-21
3,2018-07-28,Julie London,2018-07-21
3,2018-07-28,Motel Radio,2018-07-21
3,2018-07-28,Nina Simone,2018-07-21
3,2018-07-28,Ra Ra Riot,2018-07-21
3,2018-07-28,Vulfpeck,2018-07-21
66,2018-07-21,The Rubens,2018-07-14
14,2018-07-21,Bad Rabbits,2018-07-14
14,2018-07-21,Leon Bridges,2018-07-14
13,2018-07-21,"Tyler, the Creator",2018-07-14
11,2018-07-21,Gregory Alan Isakov,2018-07-14
9,2018-07-21,Easy Giant,2018-07-14
7,2018-07-21,Angie McMahon,2018-07-14
7,2018-07-21,Dan Auerbach,2018-07-14
7,2018-07-21,Ra Ra Riot,2018-07-14
7,2018-07-21,The Black Keys,2018-07-14
6,2018-07-21,Angus &amp; Julia Stone,2018-07-14
6,2018-07-21,Lucy Dacus,2018-07-14
6,2018-07-21,The Lumineers,2018-07-14
5,2018-07-21,Northeast Party House,2018-07-14
4,2018-07-21,Future Islands,2018-07-14
4,2018-07-21,Otis Redding,2018-07-14
4,2018-07-21,Tash Sultana,2018-07-14
4,2018-07-21,Wild Child,2018-07-14
3,2018-07-21,Ben Folds,2018-07-14
3,2018-07-21,Coldplay,2018-07-14
3,2018-07-21,Drummer,2018-07-14
3,2018-07-21,Gang of Youths,2018-07-14
3,2018-07-21,Middle Kids,2018-07-14
3,2018-07-21,River Whyless,2018-07-14
3,2018-07-21,Sticky Fingers,2018-07-14
80,2018-07-14,The Rubens,2018-07-07
18,2018-07-14,"Tyler, the Creator",2018-07-07
14,2018-07-14,NEEDTOBREATHE,2018-07-07
13,2018-07-14,Kids See Ghosts,2018-07-07
12,2018-07-14,Angie McMahon,2018-07-07
10,2018-07-14,Angus &amp; Julia Stone,2018-07-07
10,2018-07-14,Dan Auerbach,2018-07-07
10,2018-07-14,Lucy Dacus,2018-07-07
10,2018-07-14,Northeast Party House,2018-07-07
9,2018-07-14,Easy Giant,2018-07-07
9,2018-07-14,Lake Street Dive,2018-07-07
9,2018-07-14,The Lumineers,2018-07-07
9,2018-07-14,Wild Child,2018-07-07
7,2018-07-14,Mumford &amp; Sons,2018-07-07
7,2018-07-14,River Whyless,2018-07-07
7,2018-07-14,You Won't,2018-07-07
6,2018-07-14,Awolnation,2018-07-07
6,2018-07-14,Kings of Leon,2018-07-07
6,2018-07-14,Leon Bridges,2018-07-07
6,2018-07-14,The Fray,2018-07-07
5,2018-07-14,Ben Howard,2018-07-07
5,2018-07-14,Coldplay,2018-07-07
5,2018-07-14,Otis Redding,2018-07-07
5,2018-07-14,St. Paul &amp; The Broken Bones,2018-07-07
5,2018-07-14,The Districts,2018-07-07
111,2018-07-07,The Rubens,2018-06-30
44,2018-07-07,"Tyler, the Creator",2018-06-30
15,2018-07-07,The Lumineers,2018-06-30
12,2018-07-07,Damien Jurado,2018-06-30
12,2018-07-07,Kids See Ghosts,2018-06-30
9,2018-07-07,Dan Auerbach,2018-06-30
8,2018-07-07,Lake Street Dive,2018-06-30
7,2018-07-07,Gregory Alan Isakov,2018-06-30
5,2018-07-07,Otis Redding,2018-06-30
4,2018-07-07,Future Islands,2018-06-30
3,2018-07-07,Angie McMahon,2018-06-30
3,2018-07-07,Bad Bad Hats,2018-06-30
3,2018-07-07,Frank Ocean,2018-06-30
3,2018-07-07,Hozier,2018-06-30
3,2018-07-07,Lucy Dacus,2018-06-30
3,2018-07-07,Middle Kids,2018-06-30
3,2018-07-07,NEEDTOBREATHE,2018-06-30
3,2018-07-07,Próxima Parada,2018-06-30
3,2018-07-07,Rhye,2018-06-30
3,2018-07-07,The Districts,2018-06-30
3,2018-07-07,Wild Child,2018-06-30
2,2018-07-07,Cold War Kids,2018-06-30
2,2018-07-07,Daniel Caesar,2018-06-30
2,2018-07-07,G Flip,2018-06-30
2,2018-07-07,Galactic,2018-06-30
29,2018-06-30,The Rubens,2018-06-23
19,2018-06-30,Wild Child,2018-06-23
16,2018-06-30,Kids See Ghosts,2018-06-23
15,2018-06-30,NEEDTOBREATHE,2018-06-23
12,2018-06-30,Glorietta,2018-06-23
11,2018-06-30,Otis Redding,2018-06-23
9,2018-06-30,"Tyler, the Creator",2018-06-23
8,2018-06-30,Coldplay,2018-06-23
8,2018-06-30,St. Paul &amp; The Broken Bones,2018-06-23
7,2018-06-30,Kings of Leon,2018-06-23
7,2018-06-30,Shakey Graves,2018-06-23
7,2018-06-30,The Black Keys,2018-06-23
7,2018-06-30,The Fray,2018-06-23
6,2018-06-30,Ben Folds,2018-06-23
6,2018-06-30,Cold War Kids,2018-06-23
6,2018-06-30,Logic,2018-06-23
5,2018-06-30,Ben Howard,2018-06-23
5,2018-06-30,Dan Auerbach,2018-06-23
5,2018-06-30,The Lumineers,2018-06-23
4,2018-06-30,Alabama Shakes,2018-06-23
4,2018-06-30,Chance the Rapper,2018-06-23
4,2018-06-30,Eau Claire Memorial Jazz I,2018-06-23
4,2018-06-30,Hozier,2018-06-23
4,2018-06-30,The Districts,2018-06-23
3,2018-06-30,Caught a Ghost,2018-06-23
37,2018-06-23,Gregory Alan Isakov,2018-06-16
18,2018-06-23,River Whyless,2018-06-16
16,2018-06-23,NEEDTOBREATHE,2018-06-16
12,2018-06-23,Lake Street Dive,2018-06-16
12,2018-06-23,You Won't,2018-06-16
10,2018-06-23,The Districts,2018-06-16
8,2018-06-23,Mallrat,2018-06-16
8,2018-06-23,Otis Redding,2018-06-16
8,2018-06-23,St. Paul &amp; The Broken Bones,2018-06-16
7,2018-06-23,Dan Auerbach,2018-06-16
7,2018-06-23,The Dig,2018-06-16
7,2018-06-23,The Fray,2018-06-16
6,2018-06-23,Damien Jurado,2018-06-16
6,2018-06-23,Sinkane,2018-06-16
6,2018-06-23,The Lumineers,2018-06-16
6,2018-06-23,Wild Child,2018-06-16
5,2018-06-23,Awolnation,2018-06-16
5,2018-06-23,Cold War Kids,2018-06-16
5,2018-06-23,Future Islands,2018-06-16
5,2018-06-23,Kings of Leon,2018-06-16
5,2018-06-23,Of Monsters and Men,2018-06-16
5,2018-06-23,The Rubens,2018-06-16
5,2018-06-23,Tom Odell,2018-06-16
4,2018-06-23,Kaleo,2018-06-16
4,2018-06-23,Leon Bridges,2018-06-16
45,2018-06-16,River Whyless,2018-06-09
24,2018-06-16,Lucy Dacus,2018-06-09
19,2018-06-16,Mallrat,2018-06-09
17,2018-06-16,Dan Auerbach,2018-06-09
17,2018-06-16,NEEDTOBREATHE,2018-06-09
14,2018-06-16,Lake Street Dive,2018-06-09
13,2018-06-16,Cold War Kids,2018-06-09
13,2018-06-16,National Parks,2018-06-09
12,2018-06-16,Leon Bridges,2018-06-09
12,2018-06-16,Middle Kids,2018-06-09
12,2018-06-16,Otis Redding,2018-06-09
12,2018-06-16,The Districts,2018-06-09
10,2018-06-16,The Rubens,2018-06-09
8,2018-06-16,Tom Odell,2018-06-09
7,2018-06-16,Becca Mancari,2018-06-09
6,2018-06-16,Alabama Shakes,2018-06-09
6,2018-06-16,Shakey Graves,2018-06-09
6,2018-06-16,The Black Keys,2018-06-09
5,2018-06-16,alt-J,2018-06-09
5,2018-06-16,Awolnation,2018-06-09
5,2018-06-16,Coldplay,2018-06-09
5,2018-06-16,Damien Jurado,2018-06-09
5,2018-06-16,Drummer,2018-06-09
5,2018-06-16,St. Paul &amp; The Broken Bones,2018-06-09
5,2018-06-16,The Lumineers,2018-06-09
26,2018-06-09,Middle Kids,2018-06-02
20,2018-06-09,Lucy Dacus,2018-06-02
17,2018-06-09,Lake Street Dive,2018-06-02
17,2018-06-09,NEEDTOBREATHE,2018-06-02
16,2018-06-09,Dan Auerbach,2018-06-02
12,2018-06-09,The Districts,2018-06-02
9,2018-06-09,Leon Bridges,2018-06-02
9,2018-06-09,National Parks,2018-06-02
8,2018-06-09,Gregory Alan Isakov,2018-06-02
8,2018-06-09,The Rubens,2018-06-02
8,2018-06-09,You Won't,2018-06-02
7,2018-06-09,Damien Jurado,2018-06-02
7,2018-06-09,Kings of Leon,2018-06-02
7,2018-06-09,The Fray,2018-06-02
6,2018-06-09,Bad Bad Hats,2018-06-02
6,2018-06-09,Future Islands,2018-06-02
6,2018-06-09,Otis Redding,2018-06-02
6,2018-06-09,Tom Odell,2018-06-02
6,2018-06-09,Wild Child,2018-06-02
5,2018-06-09,Ben Howard,2018-06-02
5,2018-06-09,Shakey Graves,2018-06-02
5,2018-06-09,The Lumineers,2018-06-02
4,2018-06-09,Alabama Shakes,2018-06-02
4,2018-06-09,Coldplay,2018-06-02
4,2018-06-09,First Aid Kit,2018-06-02
30,2018-06-02,Lucy Dacus,2018-05-26
18,2018-06-02,Dan Auerbach,2018-05-26
18,2018-06-02,NEEDTOBREATHE,2018-05-26
14,2018-06-02,The Secret Sisters,2018-05-26
13,2018-06-02,Bad Bad Hats,2018-05-26
11,2018-06-02,Leon Bridges,2018-05-26
10,2018-06-02,Sylvan Esso,2018-05-26
9,2018-06-02,The Districts,2018-05-26
7,2018-06-02,Lake Street Dive,2018-05-26
7,2018-06-02,Wild Child,2018-05-26
6,2018-06-02,Otis Redding,2018-05-26
6,2018-06-02,The Black Keys,2018-05-26
5,2018-06-02,Justin Timberlake,2018-05-26
4,2018-06-02,Awolnation,2018-05-26
4,2018-06-02,Coldplay,2018-05-26
4,2018-06-02,Drummer,2018-05-26
4,2018-06-02,Frank Ocean,2018-05-26
4,2018-06-02,Future Islands,2018-05-26
4,2018-06-02,Gary Clark Jr.,2018-05-26
4,2018-06-02,Hollow Coves,2018-05-26
4,2018-06-02,Kings of Leon,2018-05-26
4,2018-06-02,You Won't,2018-05-26
3,2018-06-02,Alabama Shakes,2018-05-26
3,2018-06-02,alt-J,2018-05-26
3,2018-06-02,Ben Folds,2018-05-26
20,2018-05-26,NEEDTOBREATHE,2018-05-19
19,2018-05-26,Dan Auerbach,2018-05-19
12,2018-05-26,Kings of Leon,2018-05-19
12,2018-05-26,Lake Street Dive,2018-05-19
12,2018-05-26,The Secret Sisters,2018-05-19
11,2018-05-26,The Lumineers,2018-05-19
10,2018-05-26,The Black Keys,2018-05-19
9,2018-05-26,Otis Redding,2018-05-19
9,2018-05-26,Wild Child,2018-05-19
8,2018-05-26,Awolnation,2018-05-19
8,2018-05-26,The Districts,2018-05-19
8,2018-05-26,You Won't,2018-05-19
7,2018-05-26,The Fray,2018-05-19
6,2018-05-26,Gregory Alan Isakov,2018-05-19
6,2018-05-26,Logic,2018-05-19
6,2018-05-26,The Brook &amp; The Bluff,2018-05-19
5,2018-05-26,Andrew Applepie,2018-05-19
5,2018-05-26,Ben Folds,2018-05-19
5,2018-05-26,Cold War Kids,2018-05-19
5,2018-05-26,Leon Bridges,2018-05-19
5,2018-05-26,Shakey Graves,2018-05-19
4,2018-05-26,Bad Bad Hats,2018-05-19
4,2018-05-26,Hozier,2018-05-19
4,2018-05-26,Kendrick Lamar,2018-05-19
4,2018-05-26,Mumford &amp; Sons,2018-05-19
56,2018-05-19,Dan Auerbach,2018-05-12
13,2018-05-19,NEEDTOBREATHE,2018-05-12
10,2018-05-19,Drummer,2018-05-12
9,2018-05-19,Leon Bridges,2018-05-12
9,2018-05-19,Wild Child,2018-05-12
8,2018-05-19,Lake Street Dive,2018-05-12
7,2018-05-19,Otis Redding,2018-05-12
7,2018-05-19,Vince Staples,2018-05-12
6,2018-05-19,The Fray,2018-05-12
5,2018-05-19,Cold War Kids,2018-05-12
4,2018-05-19,Awolnation,2018-05-12
4,2018-05-19,Gregory Alan Isakov,2018-05-12
4,2018-05-19,Jesse Dee,2018-05-12
4,2018-05-19,Kendrick Lamar,2018-05-12
4,2018-05-19,The Lumineers,2018-05-12
4,2018-05-19,Various Cruelties,2018-05-12
4,2018-05-19,You Won't,2018-05-12
3,2018-05-19,Amnesty,2018-05-12
3,2018-05-19,Bad Bad Hats,2018-05-12
3,2018-05-19,Ben Folds,2018-05-12
3,2018-05-19,Illuminati Hotties,2018-05-12
3,2018-05-19,Logic,2018-05-12
3,2018-05-19,Mumford &amp; Sons,2018-05-12
3,2018-05-19,Sam Smith,2018-05-12
3,2018-05-19,St. Paul &amp; The Broken Bones,2018-05-12
81,2018-05-12,Lake Street Dive,2018-05-05
36,2018-05-12,Illuminati Hotties,2018-05-05
19,2018-05-12,The Districts,2018-05-05
18,2018-05-12,Shakey Graves,2018-05-05
17,2018-05-12,NEEDTOBREATHE,2018-05-05
15,2018-05-12,Middle Kids,2018-05-05
14,2018-05-12,Amnesty,2018-05-05
13,2018-05-12,Vince Staples,2018-05-05
12,2018-05-12,The Japanese House,2018-05-05
10,2018-05-12,Wild Child,2018-05-05
7,2018-05-12,Cold War Kids,2018-05-05
7,2018-05-12,Leon Bridges,2018-05-05
7,2018-05-12,Otis Redding,2018-05-05
6,2018-05-12,Ludwig Göransson,2018-05-05
6,2018-05-12,St. Paul &amp; The Broken Bones,2018-05-05
5,2018-05-12,Dan Auerbach,2018-05-05
5,2018-05-12,The Brook &amp; The Bluff,2018-05-05
5,2018-05-12,The Rubens,2018-05-05
5,2018-05-12,Various Cruelties,2018-05-05
4,2018-05-12,Andrew Applepie,2018-05-05
4,2018-05-12,Awolnation,2018-05-05
4,2018-05-12,Lawrence,2018-05-05
4,2018-05-12,Matt &amp; Kim,2018-05-05
4,2018-05-12,Mumford &amp; Sons,2018-05-05
4,2018-05-12,The Paper Kites,2018-05-05
58,2018-05-05,Lake Street Dive,2018-04-28
38,2018-05-05,The Districts,2018-04-28
24,2018-05-05,The Rubens,2018-04-28
23,2018-05-05,Lawrence,2018-04-28
18,2018-05-05,Shakey Graves,2018-04-28
10,2018-05-05,The Brook &amp; The Bluff,2018-04-28
9,2018-05-05,Matt &amp; Kim,2018-04-28
8,2018-05-05,Leon Bridges,2018-04-28
7,2018-05-05,Dan Auerbach,2018-04-28
7,2018-05-05,NEEDTOBREATHE,2018-04-28
5,2018-05-05,Cold War Kids,2018-04-28
4,2018-05-05,Gregory Alan Isakov,2018-04-28
3,2018-05-05,Heartless Bastards,2018-04-28
3,2018-05-05,Jr Jr,2018-04-28
3,2018-05-05,Ms. Lauryn Hill,2018-04-28
3,2018-05-05,Otis Redding,2018-04-28
3,2018-05-05,Rhye,2018-04-28
3,2018-05-05,You Won't,2018-04-28
2,2018-05-05,alt-J,2018-04-28
2,2018-05-05,Andrew Applepie,2018-04-28
2,2018-05-05,Awolnation,2018-04-28
2,2018-05-05,Band of Horses,2018-04-28
2,2018-05-05,Ben Howard,2018-04-28
2,2018-05-05,Bon Iver,2018-04-28
2,2018-05-05,Foster the People,2018-04-28
62,2018-04-28,The Rubens,2018-04-21
31,2018-04-28,Cold War Kids,2018-04-21
29,2018-04-28,You Won't,2018-04-21
18,2018-04-28,Smokey Robinson and The Miracles,2018-04-21
17,2018-04-28,The Brook &amp; The Bluff,2018-04-21
10,2018-04-28,Andrew Applepie,2018-04-21
9,2018-04-28,Dan Auerbach,2018-04-21
9,2018-04-28,NEEDTOBREATHE,2018-04-21
9,2018-04-28,The Miracles,2018-04-21
8,2018-04-28,Lake Street Dive,2018-04-21
7,2018-04-28,J. Cole,2018-04-21
7,2018-04-28,Jr Jr,2018-04-21
6,2018-04-28,Logic,2018-04-21
6,2018-04-28,Ms. Lauryn Hill,2018-04-21
5,2018-04-28,Matt &amp; Kim,2018-04-21
4,2018-04-28,Mumford &amp; Sons,2018-04-21
4,2018-04-28,sean mcswiggan,2018-04-21
3,2018-04-28,Charles Bradley,2018-04-21
3,2018-04-28,Greyhounds,2018-04-21
3,2018-04-28,St. Paul &amp; The Broken Bones,2018-04-21
3,2018-04-28,The Fray,2018-04-21
3,2018-04-28,The Lumineers,2018-04-21
3,2018-04-28,Tokyo Police Club,2018-04-21
3,2018-04-28,Wild Child,2018-04-21
2,2018-04-28,alt-J,2018-04-21
44,2018-04-21,You Won't,2018-04-14
26,2018-04-21,The Brook &amp; The Bluff,2018-04-14
17,2018-04-21,The Rubens,2018-04-14
11,2018-04-21,Ms. Lauryn Hill,2018-04-14
9,2018-04-21,Dan Auerbach,2018-04-14
7,2018-04-21,Andrew Applepie,2018-04-14
5,2018-04-21,The Dig,2018-04-14
5,2018-04-21,The Weepies,2018-04-14
4,2018-04-21,Ben Folds,2018-04-14
